Bivariate Data for Diagnosed Diabetes; Obesity; ; 2021
Data downloaded on 29-November-2024
Year,County_FIPS,County,State,Bivariate Tertile,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) 
2021,56045,Weston County,Wyoming,MH,8.8,32.2
2021,02158,Kusilvak Census Area,Alaska,HL,9.2,23.7
2021,46102,Oglala Lakota County,South Dakota,HH,15.4,38.2
2021,54021,Gilmer County,West Virginia,HM,9.8,30.9
2021,54023,Grant County,West Virginia,HH,9.5,32.4
2021,54025,Greenbrier County,West Virginia,HH,12.6,35.1
2021,54027,Hampshire County,West Virginia,MM,8.8,29.4
2021,54029,Hancock County,West Virginia,HH,10.9,37
2021,54031,Hardy County,West Virginia,HM,10.2,31.7
2021,54033,Harrison County,West Virginia,HH,13,36.4
2021,54035,Jackson County,West Virginia,HH,10,39.4
2021,54037,Jefferson County,West Virginia,HM,9.3,30.9
2021,54039,Kanawha County,West Virginia,HH,12.2,38.2
2021,54041,Lewis County,West Virginia,MH,8.4,31.9
2021,54043,Lincoln County,West Virginia,HH,11.5,40.3
2021,54045,Logan County,West Virginia,HH,10.5,43.9
2021,54047,Mcdowell County,West Virginia,HH,10.4,36.4
2021,54049,Marion County,West Virginia,HH,11.6,36.3
2021,54051,Marshall County,West Virginia,HH,11.3,35.7
2021,54053,Mason County,West Virginia,HH,9.9,43
2021,54055,Mercer County,West Virginia,HH,13.4,38.9
2021,54057,Mineral County,West Virginia,HM,11,30.2
2021,54059,Mingo County,West Virginia,HH,11.7,35.7
2021,54061,Monongalia County,West Virginia,HM,9.3,31.6
2021,54063,Monroe County,West Virginia,HH,9.5,32.5
2021,55137,Waushara County,Wisconsin,LM,6.6,26.2
2021,55139,Winnebago County,Wisconsin,LH,6.8,35.8
2021,55141,Wood County,Wisconsin,LM,6.9,30.9
2021,56001,Albany County,Wyoming,LL,6.7,24.8
2021,56003,Big Horn County,Wyoming,MM,8.6,29.7
2021,56005,Campbell County,Wyoming,LH,7.7,37.4
2021,56007,Carbon County,Wyoming,LH,7.4,32.5
2021,56009,Converse County,Wyoming,MM,8.6,29.7
2021,56011,Crook County,Wyoming,LM,5.7,26.2
2021,56013,Fremont County,Wyoming,MM,8.8,27.2
2021,56015,Goshen County,Wyoming,LM,7.4,28
2021,56017,Hot Springs County,Wyoming,LM,6.8,26.5
2021,56019,Johnson County,Wyoming,LM,6.3,29.2
2021,56021,Laramie County,Wyoming,MM,8.1,30.6
2021,56023,Lincoln County,Wyoming,LM,7.3,27.8
2021,56025,Natrona County,Wyoming,LM,7.3,31.5
2021,56027,Niobrara County,Wyoming,LL,6.4,23.8
2021,56029,Park County,Wyoming,LM,6.3,27.2
2021,56031,Platte County,Wyoming,LM,7.6,29.6
2021,56033,Sheridan County,Wyoming,LM,7.5,27.9
2021,56035,Sublette County,Wyoming,LL,6.6,18.7
2021,56037,Sweetwater County,Wyoming,MH,8.1,33.3
2021,56039,Teton County,Wyoming,LL,4.4,12.2
2021,56041,Uinta County,Wyoming,LH,7.7,32.5
